file_source,final_score,p1_green1,p1_green2,p1_green3,p1_green4,p1_green5,p1_yellow1,p1_yellow2,p1_yellow3,p1_yellow4,p1_yellow5,p1_white1,p1_white2,p1_white3,p1_white4,p1_white5,p1_blue1,p1_blue2,p1_blue3,p1_blue4,p1_blue5,p1_red1,p1_red2,p1_red3,p1_red4,p1_red5,p2_green1,p2_green2,p2_green3,p2_green4,p2_green5,p2_yellow1,p2_yellow2,p2_yellow3,p2_yellow4,p2_yellow5,p2_white1,p2_white2,p2_white3,p2_white4,p2_white5,p2_blue1,p2_blue2,p2_blue3,p2_blue4,p2_blue5,p2_red1,p2_red2,p2_red3,p2_red4,p2_red5,p1_1_count,p1_2_count,p1_3_count,p1_4_count,p1_5_count,p1_hand_sum,p1_avg_value,p2_1_count,p2_2_count,p2_3_count,p2_4_count,p2_5_count,p2_hand_sum,p2_avg_value,id, ai, deck, score, time, first,ai,deck,score,age,boardgameexp,gamer,hanabiexp,recent,maxscore,intention,skill,like,publish
game01b409dccb0185d4.log,12,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,11,2.2,3,0,0,1,1,12,2.4,19dbddedf07994e2, outer,5411,9,1489703802.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game020385f10ef15078.log,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,12,2.4,3,2,0,0,0,7,1.4,19dbddedf07994e2, outer,6247,7,1489699389.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game02187dc3b658fc27.log,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,2,0,15,3.0,1,0,2,1,1,16,3.2,80b582ddeb40b2ce, outer,184,2,1490323964.0, no, intentional,1,18, 20s, 4, yes, 3, 4, 3, 2, 1, 1, yes
game0244de88234b16be.log,14,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,2,1,0,13,2.6,1,0,2,2,0,15,3.0,19dbddedf07994e2, outer,7665,4,1490289474.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game024b86a91bebca08.log,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,6,1.2,2,0,2,1,0,12,2.4,2af874d749a75ec8, outer,4310,13,1490308142.0, no, outer,3,5, 20s, 4, yes, 1, 1, 1, 3, 2, 2, yes
game024d878a35a8ab7d.log,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,15,3.0,1,3,0,1,0,11,2.2,19dbddedf07994e2, full,5094,22,1489827017.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game025e61955004c8eb.log,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,0,0,9,1.8,3,0,1,1,0,10,2.0,ca0922b34e670338, full,7604,8,1492713932.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game026370a0fc31e01d.log,19,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1,16,3.2,1,3,0,1,0,11,2.2,1813592b65bc5438, full,1,9,1490489173.0, yes, full,1,9, 30s, 4, yes, 4, 4, 4, 2, 1, 1, yes
game02dfebf6d68402b8.log,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,12,2.4,2,2,0,1,0,10,2.0,ca0922b34e670338, outer,9238,10,1492566020.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game02f3ba7d5c00dc61.log,11,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,2,2,0,15,3.0,3,0,1,1,0,10,2.0,ca0922b34e670338, outer,1688,14,1492590369.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
